primary_goal,weight,height,body_type,past_injury,body_goal,fitness_experience,last_ideal_weight_time,work_schedule,typical_day,Assigned Program
Healthy Habits,62,190,Slim,None,Athletic,Easily Gain and Lose,1-2 years,Retired,Sitting Most of Day,Program 5
Healthy Habits,60,182,Slim,None,Muscular,Struggle to Build Muscle,1-2 years,Flexible,Standing All Day,Program 20
Healthy Habits,62,175,Slim,Foot region,Drop Sizes,Easily Gain and Lose,1-2 years,9 to 5,Sitting Most of Day,Program 14
Healthy Habits,97,180,Obese,Leg region,Athletic,Struggle to Build Muscle,1-2 years,Night Shift,Active Breaks,Program 14
Get in Shape,64,189,Slim,None,Muscular,Gain Easily Struggle to Lose,Never,9 to 5,Standing All Day,Program 5
Healthy Habits,55,193,Slim,Arm region,Athletic,Gain Easily Struggle to Lose,More than 3 years,Retired,Active Breaks,Program 14
Get in Shape,113,161,Obese,Arm region,Athletic,Gain Easily Struggle to Lose,Less than 1 year,Retired,Standing All Day,Program 5
Get in Shape,70,188,Slim,None,Muscular,Easily Gain and Lose,Never,Night Shift,Standing All Day,Program 19
Healthy Habits,80,192,Medium Build,Head region,Toned,Gain Easily Struggle to Lose,1-2 years,Flexible,Active Breaks,Program 5
Weight Loss,86,182,Medium Build,None,Muscular,Easily Gain and Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 4
Get in Shape,60,156,Medium Build,Head region,Drop Sizes,Easily Gain and Lose,1-2 years,9 to 5,Standing All Day,Program 15
Healthy Habits,77,199,Slim,Leg region,Toned,Gain Easily Struggle to Lose,Less than 1 year,9 to 5,Active Breaks,Program 20
Weight Loss,93,170,Obese,None,Muscular,Easily Gain and Lose,Never,9 to 5,Sitting Most of Day,Program 12
Healthy Habits,97,190,Medium Build,Head region,Muscular,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 5
Get in Shape,63,174,Medium Build,None,Athletic,Easily Gain and Lose,1-2 years,Flexible,Sitting Most of Day,Program 3
Weight Loss,96,176,Obese,Head region,Athletic,Easily Gain and Lose,Never,Night Shift,Standing All Day,Program 4
Healthy Habits,104,182,Obese,None,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Standing All Day,Program 5
